1:94.16666666666667
2:89.0
3:91.66666666666666
4:88.75
5:93.63636363636364
6:91.11111111111111
7:92.85714285714286
8:90.0
9:91.42857142857143
10:97.0
11:91.81818181818183
12:81.11111111111111
13:95.83333333333334
14:93.33333333333333
15:91.66666666666666
16:86.66666666666667
17:96.25
18:85.0
19:97.6923076923077
20:91.0
21:92.85714285714286
22:92.14285714285714
23:90.0
24:97.14285714285714
25:92.14285714285714
26:86.42857142857143
27:95.71428571428572
