1:95.0
2:88.0
3:93.33333333333333
4:86.25
5:89.0909090909091
6:90.0
7:91.42857142857143
8:90.0
9:97.14285714285714
10:98.0
11:90.0
12:78.88888888888889
13:94.16666666666667
14:93.33333333333333
15:88.33333333333333
16:90.0
17:96.25
18:85.0
19:96.15384615384616
20:92.0
21:92.85714285714286
22:90.71428571428571
23:87.14285714285714
24:97.14285714285714
25:92.14285714285714
26:88.57142857142857
27:92.85714285714286
