1:98.33333333333333
2:97.0
3:98.33333333333333
4:91.25
5:97.27272727272728
6:98.88888888888889
7:97.14285714285714
8:95.0
9:98.57142857142858
10:100.0
11:100.0
12:90.0
13:97.5
14:96.66666666666667
15:98.33333333333333
16:95.55555555555556
17:100.0
18:100.0
19:98.46153846153847
20:92.0
21:95.71428571428572
22:93.57142857142857
23:90.0
24:100.0
25:95.0
26:91.42857142857143
27:96.42857142857143
